Hotel Name,Hotel Rating,Review Rating,WiFi in lobby,Free WiFi,Pool,Spa,Parking,Pets,A/C,Restaurant,Hotel bar,Price,
Hyderabad Grand,NaN,6.7,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,4800,
Ohris Banjara,4,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3295,
Silverkey Executive Stays 22453 Himayat Nagar Circle,2,8.4,Yes,Yes,No,No,Yes,No,No,Yes,No,1422,
FabHotel Arastu Nampally,3,9.5,Yes,Yes,No,No,No,No,Yes,No,No,1690,
Hotel Rahul International,2,6.8,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1442,
Saptagiri Deluxe,NaN,7.3,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1616,
Heritage Inn,2,7.5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,2843,
OYO 10272 Hotel Ruma,3,8.2,Yes,Yes,No,No,No,No,Yes,No,No,1470,
Oyo Flagship 81484 Hotel Sky City,NaN,5.8,No,No,No,No,Yes,No,Yes,No,No,1811,
Urvasi Hotel,3,7.9,Yes,No,No,No,Yes,No,Yes,Yes,Yes,2434,
Minerva Grand Secunderabad,4,7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4577,
Collection O Hotel Happy Stay Near Hyderabad Central,3,8.7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1860,
OYO 14669 Mayur's Residency,3,5.9,Yes,Yes,No,No,Yes,No,No,No,No,1395,
OYO 30151 Golden Hive,NaN,7.8,Yes,Yes,No,No,No,No,Yes,No,No,1349,
"Tourist Friendly Home -3bhk Ac Near Birla Mandir, Hyderabad",NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,5375,
Capital O 9003 Deccan Inn,3,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1589,
Saptagiri,3,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,3484,
Hotel SYN Residency,3,9.6,Yes,Yes,No,No,Yes,No,No,Yes,No,1525,
Sitara Residency,NaN,8.1,Yes,No,No,No,Yes,No,Yes,Yes,No,2973,
Rnb Select Banjara Hills ex. Casa Luxurio,3,6.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4286,
SilverKey Executive Stays 39634 Shamshabad,NaN,8.6,Yes,Yes,No,No,Yes,No,Yes,No,No,1130,
Hotel Tara,3,8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,7962,
Oyo Flagship 81582 Hotel Shazeb International,NaN,2.4,No,No,No,No,No,No,No,No,No,806,
Time Square The Landmark,3,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4659,
Hotel Siri Tals Hytek,NaN,7.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1613,
OYO 1410 Country Club Begumpet,3,8.3,Yes,Yes,Yes,No,Yes,No,Yes,No,No,2030,
Hotel Plaza Rooms,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,1176,
Hotel Ebony Boutique,3,7.9,Yes,No,No,No,Yes,No,Yes,Yes,No,3488,
Fabhotel Maruthi Residency,NaN,NaN,No,Yes,No,No,No,No,Yes,No,No,2638,
Falcons Nest Studio Service Apartment,NaN,5.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2912,
OYO 14501 Hotel Hill View Guest House Begumpet,NaN,9.2,No,Yes,No,No,No,No,No,No,No,3197,
Amogh - Yatri Nivas,3,7.4,Yes,No,No,No,Yes,No,No,Yes,No,3534,
Maurya Hotel,NaN,NaN,No,No,No,No,No,No,Yes,No,No,1055,
OYO 8587 Dwell Suites,3,7.5,Yes,Yes,No,No,Yes,No,Yes,No,No,2125,
Sri Krishna,NaN,NaN,No,No,No,No,No,No,No,No,No,1411,
Lemon Tree Banjara Hills,NaN,NaN,No,Yes,No,No,Yes,No,Yes,Yes,No,5456,
Treebo Trend Srico,3,9.2,Yes,Yes,No,No,Yes,No,Yes,No,No,2130,
Swagath Grand,2,7.9,Yes,Yes,No,No,Yes,No,Yes,No,No,3356,
Collection O 44177 Patrika Nagar,NaN,8.7,Yes,Yes,No,No,Yes,No,No,No,No,1824,
Treebo Trend The Rise,NaN,7.5,No,No,No,No,Yes,No,Yes,No,No,2580,
Falcons Nest Madhu Kunj,3,7.1,Yes,No,No,No,Yes,No,Yes,No,No,1886,
FORMULE1 Hyderabad Banjara Hills,2,NaN,Yes,No,No,No,Yes,No,Yes,No,No,3807,
Hotel The Plaza,3,7.7,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,5400,
OYO 983 Hotel Surya Residency,3,8.1,Yes,Yes,No,No,Yes,No,Yes,No,No,1506,
Hill View Guest House Hi Tech City,3,8,Yes,Yes,No,No,Yes,No,Yes,Yes,No,4198,
Hotel Kinara Grand Vanasthalipuram,3,7.1,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3294,
Urban Oasis,NaN,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,3573,
OYO 22907 Hotel Holiday,3,8.1,Yes,Yes,No,No,Yes,No,Yes,No,No,1681,
Sree Karthikeya Suites,NaN,8.4,Yes,Yes,No,No,Yes,No,Yes,No,No,1361,
Park Continental,NaN,NaN,Yes,No,No,No,No,No,Yes,Yes,No,2548,
Shilpi Grand,NaN,NaN,No,Yes,No,No,No,No,No,Yes,No,6267,
S.y.n.residency,NaN,7.4,No,No,Yes,No,No,No,No,No,No,1462,
Treebo Trend Acsys,3,9.6,Yes,Yes,No,No,No,No,Yes,Yes,No,3184,
Hotel Lotus Grand,3,8,Yes,Yes,No,No,No,No,No,No,No,1400,
Rcc Hotel Banjara Hills,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2031,
Sitara Grand Miyapur,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3762,
Spot On 45433 Sree Radha Lodge Spot,NaN,8.4,Yes,Yes,No,No,No,No,Yes,No,No,1061,
OYO 10595 Hotel Mirras,3,8.4,Yes,Yes,No,No,Yes,No,Yes,No,No,1666,
Sitara Grand - Lb Nagar,2,7.7,Yes,Yes,No,No,Yes,No,Yes,No,No,3523,
Hotel Fortune Hyderabad Airport Zone,4,6.2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2772,
FabHotel Limestone Gachibowli,3,9.6,Yes,Yes,No,No,No,No,Yes,No,No,2571,
Manny's Palace Secunderabad Railway Station,1,8.4,Yes,Yes,No,No,Yes,No,Yes,No,No,2339,
Treebo Trend Hotel Vaishnavi,3,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,1492,
Sucasa Homes (home Away From Home Guest Services Pvt Ltd),NaN,10,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2240,
FabHotel Siri Inn Hitech City,3,9,Yes,Yes,No,No,Yes,No,No,No,No,2631,
Dhola-Ri-Dhani,3,6.8,No,No,Yes,No,Yes,No,Yes,Yes,No,3586,
Novotel Hyderabad Airport,5,8.1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,16519,
Oriana Hotel,3,9.5,No,No,No,No,Yes,No,Yes,No,No,1643,
Aalankrita Resort,4,7.4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,20294,
Capital O 62166 Raaga Grand,NaN,9,Yes,Yes,No,No,Yes,No,Yes,No,No,2065,
Skyla Services Road 13,NaN,NaN,No,No,No,No,No,No,No,No,No,5331,
OYO 30744 The Gate,NaN,9.4,No,Yes,No,No,No,No,Yes,No,No,852,
OYO 6661 Aurum Abode,3,8.6,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2185,
Home Away From Home Guest Services,NaN,NaN,No,No,No,No,No,No,No,No,No,4150,
Sagar Grand,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2503,
Capital O 44354 Jubilee Banjara Suites,NaN,8,Yes,Yes,No,No,No,No,Yes,No,No,1583,
OYO 10209 Hotel AVS Sweet Magic,3,7.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1738,
Hotel Meridian Residency,NaN,6.2,No,No,No,No,Yes,No,No,No,No,6297,
KRS Nest Kondapur,3,8.5,Yes,Yes,No,No,No,No,Yes,No,No,2126,
Hotel M.n Residency,NaN,NaN,Yes,No,No,No,Yes,Yes,Yes,No,No,1611,
OYO 12237 Luxury Villas,3,7.1,Yes,Yes,No,No,Yes,No,Yes,No,No,1121,
OYO 3421 18 Square,3,8.4,No,Yes,No,No,No,No,Yes,No,No,1485,
Ira Star Inn,NaN,NaN,No,No,No,No,No,No,No,No,No,2016,
Sri Simran Park,NaN,NaN,Yes,No,No,No,Yes,No,Yes,Yes,No,1703,
FabHotel Prowell Crown Hitech City,3,9.6,Yes,Yes,No,No,Yes,No,Yes,No,Yes,2380,
Hotel La Serene,3,7.5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,6866,
Matakrupa Building,NaN,NaN,No,No,No,No,No,No,No,No,No,1905,
Marriott Executive Apartments Hyderabad,5,9.2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,12980,
Fabhotel Air Live,NaN,NaN,No,No,No,No,No,No,Yes,No,No,2932,
Collection O Gokul Pride,NaN,NaN,Yes,Yes,No,No,No,No,No,No,No,1628,
Taj Falaknuma Palace,5,9.8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,48947,
Sitara Grand Ameerpet,2,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3097,
Park Banjara,NaN,NaN,No,No,No,No,No,No,No,No,No,1809,
Itsy By Treebo | D'Comfort Inn,3,9.6,Yes,Yes,No,No,No,No,Yes,No,No,2164,
Nirmal Villa Cherry,NaN,NaN,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2099,
Srr Homes 3bhk,NaN,NaN,No,No,No,No,No,No,No,No,No,1971,
OYO 1108 Hotel Saraswathi Residency,3,8.5,Yes,Yes,No,No,Yes,No,Yes,No,No,1428,
Emirates Global Hospitality,NaN,NaN,No,No,No,No,No,No,No,No,No,2491,
Horizon Residency,NaN,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1178,
OYO 37427 Kjr Centre,NaN,8.2,Yes,Yes,No,No,No,No,No,No,No,789,
Pearls Inn,4,7.3,Yes,Yes,No,No,Yes,No,Yes,Yes,No,7157,
Luxury Villas,NaN,NaN,No,No,No,No,No,No,No,No,No,742,
The Conclave,3,6.6,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2240,
OYO 13746 Mint Leaves,3,5.9,Yes,Yes,No,No,Yes,No,Yes,No,No,1782,
FabExpress Lucky Hotels II Gachibowli,3,7.9,Yes,Yes,No,No,Yes,No,Yes,No,No,1515,
Srico Guest House,NaN,NaN,No,No,Yes,No,Yes,No,No,No,No,1893,
Oyo Flagship 81484 Ap Grand Qualia,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,No,No,997,
Oyo Townhouse 164 Model Colony,NaN,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1793,
FabHotel Syberitic Suites Gachibowli,3,8.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3204,
Capital O 23322 Hoysala Inn,3,8.5,Yes,Yes,No,No,Yes,No,No,No,No,2820,
New Sree Krishna Residency,NaN,NaN,Yes,Yes,No,No,Yes,No,No,No,No,1728,
Super Oyo Collection O Casa Grand Hotels Nacharam,NaN,8.7,Yes,Yes,No,No,No,No,No,No,No,1736,
Grand Manor Suites,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,2953,
QUBE INN,3,7.5,Yes,Yes,No,No,No,No,Yes,No,No,1799,
Veeraj Suites,3,9,Yes,Yes,No,No,No,No,Yes,No,No,3224,
Swagath De Royal,3,7.8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3325,
Highway Grand Residency,NaN,7.4,No,No,Yes,No,No,No,No,No,No,1362,
Hotel Palak Residency - NH 65,3,8.1,Yes,Yes,No,No,No,No,Yes,No,No,937,
At Home Suites,NaN,6.5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1976,
FabHotel Prime II Shamshabad,3,8.7,Yes,Yes,No,No,No,No,Yes,No,No,2199,
Rinn Residency Jubilee Hills,NaN,NaN,No,No,No,No,No,No,No,No,No,1359,
Mango Suites Viera,NaN,NaN,Yes,Yes,No,No,Yes,No,Yes,Yes,No,3435,
Radisson Hyderabad Hitec City,5,7.6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6524,
Minerva Grand Kondapur,3,7.9,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,5038,
Istayhotels Jubilee Hills Hyderabad,NaN,NaN,No,No,No,No,Yes,No,Yes,No,No,4608,
Ellaa Hotel Gachibowli,5,7.7,No,No,No,No,Yes,No,Yes,No,No,6147,
Collection O Hotel Golden Gate,NaN,NaN,Yes,Yes,No,No,No,No,No,No,No,1397,
The Palazzo,NaN,7.3,Yes,Yes,No,No,No,No,No,No,No,2326,
Hotel Neem Tree-Hyderabad Airport Shamshabad,2,8.8,Yes,Yes,No,No,Yes,No,Yes,No,No,1639,
Cyber Heights,NaN,4.5,No,No,No,No,No,No,No,No,No,2299,
OYO 22074 Siri Elite,NaN,8.7,No,No,No,No,No,No,No,No,No,1606,
The Elite Hotel,NaN,7.9,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,2654,
Stonerock Castle,NaN,10,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,2800,
OYO 7691 Kanha Boutique Hotel,3,9,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1545,
The Lime Boutique Suites,3,8.4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,3351,
S.s. Residency,NaN,7.5,No,No,No,No,No,No,No,No,No,1672,
"Hotel Ceasta, Next Us Consulate Hyderabad, Gachibowli",NaN,9.6,No,No,No,No,No,No,No,No,No,3312,
